index,time,pdu,measured_power_util
0,600000000,pdu8,0.664
1,900000000,pdu8,0.661
2,1200000000,pdu8,0.668
3,1500000000,pdu8,0.677
4,1800000000,pdu8,0.681
5,2100000000,pdu8,0.685
6,2400000000,pdu8,0.686
7,2700000000,pdu8,0.683
8,3000000000,pdu8,0.669
9,3300000000,pdu8,0.652
10,3600000000,pdu8,0.638
11,3900000000,pdu8,0.626
12,4200000000,pdu8,0.627
13,4500000000,pdu8,0.629
14,4800000000,pdu8,0.623
15,5100000000,pdu8,0.625
16,5400000000,pdu8,0.622
17,5700000000,pdu8,0.624
18,6000000000,pdu8,0.629
19,6300000000,pdu8,0.637
20,6600000000,pdu8,0.641
21,6900000000,pdu8,0.643
22,7200000000,pdu8,0.641
23,7500000000,pdu8,0.638
24,7800000000,pdu8,0.638
25,8100000000,pdu8,0.641
26,8400000000,pdu8,0.64
27,8700000000,pdu8,0.636
28,9000000000,pdu8,0.636
29,9300000000,pdu8,0.637
30,9600000000,pdu8,0.644
31,9900000000,pdu8,0.639
32,10200000000,pdu8,0.64
33,10500000000,pdu8,0.636
34,10800000000,pdu8,0.642
35,11100000000,pdu8,0.646
36,11400000000,pdu8,0.648
37,11700000000,pdu8,0.647
38,12000000000,pdu8,0.641
39,12300000000,pdu8,0.642
40,12600000000,pdu8,0.643
41,12900000000,pdu8,0.636
42,13200000000,pdu8,0.636
43,13500000000,pdu8,0.637
44,13800000000,pdu8,0.637
45,14100000000,pdu8,0.64
46,14400000000,pdu8,0.64
47,14700000000,pdu8,0.642
48,15000000000,pdu8,0.64
49,15300000000,pdu8,0.641
50,15600000000,pdu8,0.648
51,15900000000,pdu8,0.65
52,16200000000,pdu8,0.651
53,16500000000,pdu8,0.65
54,16800000000,pdu8,0.647
55,17100000000,pdu8,0.65
56,17400000000,pdu8,0.652
57,17700000000,pdu8,0.655
58,18000000000,pdu8,0.659
59,18300000000,pdu8,0.661
60,18600000000,pdu8,0.662
61,18900000000,pdu8,0.659
62,19200000000,pdu8,0.653
63,19500000000,pdu8,0.647
64,19800000000,pdu8,0.645
65,20100000000,pdu8,0.644
66,20400000000,pdu8,0.645
67,20700000000,pdu8,0.65
68,21000000000,pdu8,0.653
69,21300000000,pdu8,0.656
70,21600000000,pdu8,0.654
71,21900000000,pdu8,0.65
72,22200000000,pdu8,0.65
73,22500000000,pdu8,0.646
74,22800000000,pdu8,0.645
75,23100000000,pdu8,0.645
76,23400000000,pdu8,0.643
77,23700000000,pdu8,0.646
78,24000000000,pdu8,0.648
79,24300000000,pdu8,0.646
80,24600000000,pdu8,0.647
81,24900000000,pdu8,0.649
82,25200000000,pdu8,0.65
83,25500000000,pdu8,0.65
84,25800000000,pdu8,0.653
85,26100000000,pdu8,0.651
86,26400000000,pdu8,0.644
87,26700000000,pdu8,0.639
88,27000000000,pdu8,0.64
89,27300000000,pdu8,0.642
90,27600000000,pdu8,0.644
91,27900000000,pdu8,0.646
92,28200000000,pdu8,0.651
93,28500000000,pdu8,0.651
94,28800000000,pdu8,0.651
95,29100000000,pdu8,0.653
96,29400000000,pdu8,0.649
97,29700000000,pdu8,0.65
98,30000000000,pdu8,0.651
99,30300000000,pdu8,0.646
100,30600000000,pdu8,0.648
101,30900000000,pdu8,0.65
102,31200000000,pdu8,0.651
103,31500000000,pdu8,0.653
104,31800000000,pdu8,0.653
105,32100000000,pdu8,0.649
106,32400000000,pdu8,0.65
107,32700000000,pdu8,0.648
108,33000000000,pdu8,0.647
109,33300000000,pdu8,0.651
110,33600000000,pdu8,0.66
111,33900000000,pdu8,0.656
112,34200000000,pdu8,0.658
113,34500000000,pdu8,0.657
114,34800000000,pdu8,0.662
115,35100000000,pdu8,0.66
116,35400000000,pdu8,0.66
117,35700000000,pdu8,0.655
118,36000000000,pdu8,0.65
119,36300000000,pdu8,0.645
120,36600000000,pdu8,0.649
121,36900000000,pdu8,0.646
122,37200000000,pdu8,0.651
123,37500000000,pdu8,0.654
124,37800000000,pdu8,0.658
125,38100000000,pdu8,0.656
126,38400000000,pdu8,0.66
127,38700000000,pdu8,0.657
128,39000000000,pdu8,0.657
129,39300000000,pdu8,0.657
130,39600000000,pdu8,0.656
131,39900000000,pdu8,0.654
132,40200000000,pdu8,0.657
133,40500000000,pdu8,0.657
134,40800000000,pdu8,0.655
135,41100000000,pdu8,0.651
136,41400000000,pdu8,0.65
137,41700000000,pdu8,0.653
138,42000000000,pdu8,0.648
139,42300000000,pdu8,0.649
140,42600000000,pdu8,0.654
141,42900000000,pdu8,0.659
142,43200000000,pdu8,0.659
143,43500000000,pdu8,0.662
144,43800000000,pdu8,0.666
145,44100000000,pdu8,0.671
146,44400000000,pdu8,0.66
147,44700000000,pdu8,0.658
148,45000000000,pdu8,0.655
149,45300000000,pdu8,0.659
150,45600000000,pdu8,0.666
151,45900000000,pdu8,0.668
152,46200000000,pdu8,0.664
153,46500000000,pdu8,0.662
154,46800000000,pdu8,0.66
155,47100000000,pdu8,0.657
156,47400000000,pdu8,0.65
157,47700000000,pdu8,0.65
158,48000000000,pdu8,0.651
159,48300000000,pdu8,0.655
160,48600000000,pdu8,0.657
161,48900000000,pdu8,0.659
162,49200000000,pdu8,0.659
163,49500000000,pdu8,0.666
164,49800000000,pdu8,0.668
165,50100000000,pdu8,0.67
166,50400000000,pdu8,0.671
167,50700000000,pdu8,0.67
168,51000000000,pdu8,0.666
169,51300000000,pdu8,0.663
170,51600000000,pdu8,0.659
171,51900000000,pdu8,0.664
172,52200000000,pdu8,0.671
173,52500000000,pdu8,0.676
174,52800000000,pdu8,0.676
175,53100000000,pdu8,0.678
176,53400000000,pdu8,0.673
177,53700000000,pdu8,0.665
178,54000000000,pdu8,0.666
179,54300000000,pdu8,0.668
180,54600000000,pdu8,0.668
181,54900000000,pdu8,0.675
182,55200000000,pdu8,0.674
183,55500000000,pdu8,0.673
184,55800000000,pdu8,0.671
185,56100000000,pdu8,0.673
186,56400000000,pdu8,0.677
187,56700000000,pdu8,0.68
188,57000000000,pdu8,0.678
189,57300000000,pdu8,0.672
190,57600000000,pdu8,0.669
191,57900000000,pdu8,0.667
192,58200000000,pdu8,0.67
193,58500000000,pdu8,0.672
194,58800000000,pdu8,0.677
195,59100000000,pdu8,0.678
196,59400000000,pdu8,0.679
197,59700000000,pdu8,0.676
198,60000000000,pdu8,0.68
199,60300000000,pdu8,0.682
200,60600000000,pdu8,0.679
201,60900000000,pdu8,0.675
202,61200000000,pdu8,0.678
203,61500000000,pdu8,0.679
204,61800000000,pdu8,0.682
205,62100000000,pdu8,0.682
206,62400000000,pdu8,0.681
207,62700000000,pdu8,0.683
208,63000000000,pdu8,0.682
209,63300000000,pdu8,0.682
210,63600000000,pdu8,0.684
211,63900000000,pdu8,0.687
212,64200000000,pdu8,0.688
213,64500000000,pdu8,0.692
214,64800000000,pdu8,0.695
215,65100000000,pdu8,0.704
216,65400000000,pdu8,0.707
217,65700000000,pdu8,0.714
218,66000000000,pdu8,0.718
219,66300000000,pdu8,0.721
220,66600000000,pdu8,0.719
221,66900000000,pdu8,0.713
222,67200000000,pdu8,0.711
223,67500000000,pdu8,0.709
224,67800000000,pdu8,0.708
225,68100000000,pdu8,0.708
226,68400000000,pdu8,0.705
227,68700000000,pdu8,0.701
228,69000000000,pdu8,0.697
229,69300000000,pdu8,0.695
230,69600000000,pdu8,0.692
231,69900000000,pdu8,0.691
232,70200000000,pdu8,0.693
233,70500000000,pdu8,0.696
234,70800000000,pdu8,0.696
235,71100000000,pdu8,0.696
236,71400000000,pdu8,0.694
237,71700000000,pdu8,0.696
238,72000000000,pdu8,0.698
239,72300000000,pdu8,0.697
240,72600000000,pdu8,0.696
241,72900000000,pdu8,0.694
242,73200000000,pdu8,0.689
243,73500000000,pdu8,0.688
244,73800000000,pdu8,0.691
245,74100000000,pdu8,0.692
246,74400000000,pdu8,0.682
247,74700000000,pdu8,0.662
248,75000000000,pdu8,0.637
