datetime,carbon_intensity_actual,avg_carbon_intensity_forecast,error
2019-05-05 02:00:00,268.38,244.37924,0.098211125
2019-05-05 03:00:00,260.47,236.44275,0.101619737
2019-05-05 04:00:00,252.78,230.30006,0.097611525
2019-05-05 05:00:00,242.33,227.85319,0.063535692
2019-05-05 06:00:00,238.46,226.96751,0.050634957
2019-05-05 07:00:00,235.1,228.32414,0.029676494
2019-05-05 08:00:00,232.58,231.2167,0.0058962
2019-05-05 09:00:00,232.56,235.57874,0.012814144
2019-05-05 10:00:00,239.82,240.52367,0.002925575
2019-05-05 11:00:00,247.27,245.97719,0.005255813
2019-05-05 12:00:00,258.55,249.38748,0.036740096
2019-05-05 13:00:00,267.04,251.8965,0.060117945
2019-05-05 14:00:00,271.12,253.31719,0.070278728
2019-05-05 15:00:00,272.58,253.48787,0.075317726
2019-05-05 16:00:00,277.05,252.58819,0.096844631
2019-05-05 17:00:00,278.52,251.94657,0.105472482
2019-05-05 18:00:00,277.78,251.67144,0.103740655
2019-05-05 19:00:00,269.19,252.61052,0.065632579
2019-05-05 20:00:00,261.54,253.4404,0.031958599
2019-05-05 21:00:00,255.39,254.07704,0.005167566
2019-05-05 22:00:00,255.39,254.47316,0.003602895
2019-05-05 23:00:00,259.46,254.00247,0.02148613
2019-05-06 00:00:00,276.44,258.47191,0.069516606
2019-05-06 01:00:00,281.91,254.54725,0.10749576
2019-05-06 02:00:00,277.77,248.71346,0.116827372
2019-05-06 03:00:00,269.06,240.57205,0.118417539
2019-05-06 04:00:00,261.0,233.64579,0.117075553
2019-05-06 05:00:00,253.54,229.66723,0.103945043
2019-05-06 06:00:00,248.44,227.28449,0.093079427
2019-05-06 07:00:00,243.57,227.1378,0.07234463
2019-05-06 08:00:00,240.6,228.88113,0.051200682
2019-05-06 09:00:00,243.45,232.50276,0.047084344
2019-05-06 10:00:00,245.77,237.69702,0.03396332
2019-05-06 11:00:00,250.03,243.67849,0.026065124
2019-05-06 12:00:00,257.87,247.5554,0.041665825
2019-05-06 13:00:00,261.12,250.46034,0.042560271
2019-05-06 14:00:00,261.28,251.89275,0.037266853
2019-05-06 15:00:00,257.76,252.15237,0.022239053
2019-05-06 16:00:00,257.4,251.30895,0.024237298
2019-05-06 17:00:00,254.6,251.0667,0.014073153
2019-05-06 18:00:00,257.82,251.07148,0.026878879
2019-05-06 19:00:00,261.43,251.99741,0.037431297
