hour,measured_power_util
2022-07-01 00:00:00,0.6605833333333334
2022-07-01 01:00:00,0.6230833333333333
2022-07-01 02:00:00,0.629
2022-07-01 03:00:00,0.6299166666666667
2022-07-01 04:00:00,0.6409166666666667
2022-07-01 05:00:00,0.6428333333333334
2022-07-01 06:00:00,0.63775
2022-07-01 07:00:00,0.6394166666666666
2022-07-01 08:00:00,0.6455833333333333
2022-07-01 09:00:00,0.6459166666666667
2022-07-01 10:00:00,0.6475833333333333
2022-07-01 11:00:00,0.6603333333333333
2022-07-01 12:00:00,0.6686666666666667
2022-07-01 13:00:00,0.6670833333333334
2022-07-01 14:00:00,0.6718333333333334
2022-07-01 15:00:00,0.6801666666666667
2022-07-01 16:00:00,0.6854166666666667
2022-07-01 17:00:00,0.6906666666666667
2022-07-01 18:00:00,0.7164999999999999
2022-07-01 19:00:00,0.6958333333333333
2022-07-01 20:00:00,0.6681666666666667
2022-07-01 21:00:00,0.62825
2022-07-01 22:00:00,0.6566666666666667
2022-07-01 23:00:00,0.6575000000000001
2022-07-02 00:00:00,0.6706666666666666
2022-07-02 01:00:00,0.6853333333333333
2022-07-02 02:00:00,0.7059166666666666
2022-07-02 03:00:00,0.6980833333333333
2022-07-02 04:00:00,0.7081666666666666
2022-07-02 05:00:00,0.71775
2022-07-02 06:00:00,0.7186666666666666
2022-07-02 07:00:00,0.7151666666666666
2022-07-02 08:00:00,0.7109166666666665
2022-07-02 09:00:00,0.7172499999999999
2022-07-02 10:00:00,0.7088333333333333
2022-07-02 11:00:00,0.7168333333333333
2022-07-02 12:00:00,0.7034166666666666
2022-07-02 13:00:00,0.7004999999999999
2022-07-02 14:00:00,0.7046666666666667
2022-07-02 15:00:00,0.7009166666666666
2022-07-02 16:00:00,0.7014999999999999
2022-07-02 17:00:00,0.7211666666666666
2022-07-02 18:00:00,0.7254166666666667
2022-07-02 19:00:00,0.72025
2022-07-02 20:00:00,0.717
2022-07-02 21:00:00,0.7007499999999999
2022-07-02 22:00:00,0.69625
2022-07-02 23:00:00,0.6940833333333334
2022-07-03 00:00:00,0.6945833333333332
2022-07-03 01:00:00,0.71475
2022-07-03 02:00:00,0.7138333333333332
2022-07-03 03:00:00,0.7159166666666666
2022-07-03 04:00:00,0.7126666666666667
2022-07-03 05:00:00,0.7162499999999999
2022-07-03 06:00:00,0.7255833333333332
2022-07-03 07:00:00,0.7275833333333334
2022-07-03 08:00:00,0.7244999999999999
2022-07-03 09:00:00,0.6994166666666666
2022-07-03 10:00:00,0.6934166666666667
2022-07-03 11:00:00,0.7034166666666666
2022-07-03 12:00:00,0.7159999999999999
2022-07-03 13:00:00,0.7360833333333333
2022-07-03 14:00:00,0.7275833333333334
2022-07-03 15:00:00,0.7269166666666665
2022-07-03 16:00:00,0.7291666666666666
2022-07-03 17:00:00,0.7308333333333333
2022-07-03 18:00:00,0.734
2022-07-03 19:00:00,0.71875
2022-07-03 20:00:00,0.71075
2022-07-03 21:00:00,0.6624166666666667
2022-07-03 22:00:00,0.67325
2022-07-03 23:00:00,0.7115833333333333
2022-07-04 00:00:00,0.698
2022-07-04 01:00:00,0.6946666666666667
2022-07-04 02:00:00,0.6960833333333333
2022-07-04 03:00:00,0.7040833333333333
2022-07-04 04:00:00,0.7040833333333333
2022-07-04 05:00:00,0.7007499999999999
2022-07-04 06:00:00,0.7120833333333333
2022-07-04 07:00:00,0.7289166666666667
2022-07-04 08:00:00,0.7218333333333332
2022-07-04 09:00:00,0.711
2022-07-04 10:00:00,0.7278333333333333
2022-07-04 11:00:00,0.7225
2022-07-04 12:00:00,0.7044166666666666
2022-07-04 13:00:00,0.69875
2022-07-04 14:00:00,0.6863333333333334
2022-07-04 15:00:00,0.6920833333333333
2022-07-04 16:00:00,0.7004999999999999
2022-07-04 17:00:00,0.7042499999999999
2022-07-04 18:00:00,0.6565
2022-07-04 19:00:00,0.6579166666666667
2022-07-04 20:00:00,0.70025
2022-07-04 21:00:00,0.6933333333333334
2022-07-04 22:00:00,0.6968333333333333
2022-07-04 23:00:00,0.6854166666666667
2022-07-05 00:00:00,0.69325
2022-07-05 01:00:00,0.68375
2022-07-05 02:00:00,0.6723333333333334
2022-07-05 03:00:00,0.6804166666666668
2022-07-05 04:00:00,0.69525
2022-07-05 05:00:00,0.7146666666666667
2022-07-05 06:00:00,0.70975
2022-07-05 07:00:00,0.7128333333333333
2022-07-05 08:00:00,0.7048333333333333
2022-07-05 09:00:00,0.7003333333333334
2022-07-05 10:00:00,0.718
2022-07-05 11:00:00,0.7188333333333333
2022-07-05 12:00:00,0.7253333333333334
2022-07-05 13:00:00,0.7308333333333333
2022-07-05 14:00:00,0.7190833333333333
2022-07-05 15:00:00,0.7232500000000001
2022-07-05 16:00:00,0.7119166666666666
2022-07-05 17:00:00,0.7063333333333333
2022-07-05 18:00:00,0.7065833333333332
2022-07-05 19:00:00,0.65175
2022-07-05 20:00:00,0.6565833333333334
2022-07-05 21:00:00,0.6753333333333335
2022-07-05 22:00:00,0.6889166666666666
2022-07-05 23:00:00,0.6905833333333332
2022-07-06 00:00:00,0.6829166666666667
2022-07-06 01:00:00,0.6923333333333334
2022-07-06 02:00:00,0.6780833333333334
2022-07-06 03:00:00,0.6928333333333333
2022-07-06 04:00:00,0.7138333333333332
2022-07-06 05:00:00,0.7133333333333333
2022-07-06 06:00:00,0.72575
2022-07-06 07:00:00,0.7168333333333333
2022-07-06 08:00:00,0.7244166666666666
2022-07-06 09:00:00,0.7268333333333333
2022-07-06 10:00:00,0.7280833333333333
